code: sincerely, description: Cordialement
code: your_request, description: Votre demande de création d'une version numérique du matériel suivant a été effectuée
code: to_see_the_resource, description: Pour télécharger la ressource :
code: click_here, description: cliquez ici.
code: addressFrom, description: library.services@carleton.ca
code: subject, description: Lettre de notification d'exemplaire
code: letterName, description: Lettre de notification d'exemplaire
code: department, description: Banque de prêt
code: for_cas_users, description: Pour les utilisateurs CAS
code: for_saml_users, description: Pour les utilisateurs SAML (ajouter idpCode si besoin)
code: for_local_users, description: Pour les utilisateurs LDAP/locaux
code: max_num_of_views, description: Pour votre information, le nombre maximal de vues de la ressource est
code: title, description: Titre
code: attached_are_the_urls, description: Les URL des ressources numériques sont en pièce jointe
code: Cc, description: Aucun
code: Bcc, description: Aucun
code: reading_list_name, description: Nom de la liste de lecture
code: citation_id, description: Identifiant de référence
code: request_creator, description: Créateur de la demande
code: terms_of_use, description: Conditions d'utilisation
code: borrowing_terms, description: Conditions d’emprunt
code: deliver_in, description: Livrer dans
code: hours, description: Heures
code: keep_for, description: Garder pendant
code: days, description: Jours
code: price, description: Prix
code: due_date, description: Date de retour
code: without_authentication, description: Sans authentification 
